n1,n2,predicado
teste1,teste2,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#AmericanHot,60590806-8a6c-4b48-a57c-ccae54f8beaa,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#AmericanHot,http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#AmericanHot,0fcacf61-4d60-40a8-b2ef-807414561e51,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#AmericanHot,d7821c94-3a17-449d-a7ff-c097c10841dc,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#AmericanHot,9406f110-becb-40d5-8127-df9ec5ce93c7,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#AmericanHot,3888b7ed-739d-4453-b0ed-29918cf0d0af,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#AmericanHot,e301ebd8-18b7-4203-b486-b9c452785de3,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#AmericanHot,4b2114e0-cdcf-4b5f-8b0e-6489da2f6b01,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana,bbfacc58-8d4d-4198-b88e-3e37f91d051e,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana,http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana,f9ede68d-e946-4373-b194-b1112fd12285,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana,76d5287b-64fe-4317-9fce-2ee339b85855,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana,8d45233b-0657-4a82-bb1d-cdbe7f80684b,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana,8d199518-5cf9-484c-9eaa-1f358a0e1ee0,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana,fc99694a-0f82-4555-9c0d-b0b4b3524f37,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana,1257e343-2f6d-4805-a8eb-2a248754bf1e,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana,1a6d83e8-d25e-41bc-86b0-b70a572e5abd,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#JalapenoPepperTopping,bda82e6c-7c9b-40be-a3b0-73612b2d430f,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#JalapenoPepperTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#PepperTopping,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#LeekTopping,3b7a1f59-2e4a-4070-843c-d0370824e1cb,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#LeekTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#PeperoniSausageTopping,55de075c-91b2-4bb1-b118-f1ffb55dbb0d,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#PeperoniSausageTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#MeatTopping,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#HamTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#MeatTopping,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#FourCheesesTopping,1933eed4-5547-47e6-a8b7-1e225a84fae9,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#FourCheesesTopping,http://www.co-ode.org/ontologies/pizza/pizza.owl#CheeseTopping,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare,http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare,c7275266-7ba2-4ca0-ba8f-135c24215cf3,@rdfs:subClassOf
http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare,2431282a-944c-435a-a659-a0f38ddad6c4,@rdfs:subClassOf
